City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,59.74,58,100,13.65,AU,1684946750
1,manokwari,-0.8667,134.0833,80.01,77,88,2.35,ID,1684946750
2,severobaykal'sk,55.65,109.3167,29.77,91,99,4.16,RU,1684946751
3,ushuaia,-54.8,-68.3,40.66,60,100,11.5,AR,1684946538
4,lata,40.1629,-8.3327,70.41,53,81,5.66,PT,1684946752
5,margaret river,-33.95,115.0667,57.65,67,77,11.77,AU,1684946752
6,lompoc,34.6391,-120.4579,60.85,81,100,5.75,US,1684946752
7,lorengau,-2.0226,147.2712,80.06,86,100,10.2,PG,1684946753
8,robore,-18.3333,-59.75,86.09,66,2,0.0,BO,1684946753
9,praya,14.9215,-23.5087,79.34,61,75,21.85,CV,1684946753
10,forster,-32.1667,152.5167,51.82,63,19,5.99,AU,1684946754
11,bethel,41.3712,-73.414,76.35,53,0,6.91,US,1684946633
12,xai-xai,-25.0519,33.6442,70.52,81,0,10.98,MZ,1684946754
13,isafjordur,66.0755,-23.124,42.84,49,100,17.27,IS,1684946754
14,bernkastel-kues,49.9167,7.0667,58.32,60,40,11.5,DE,1684946754
15,vila velha,-20.3297,-40.2925,76.95,79,40,8.05,BR,1684946755
16,palu,-0.8917,119.8707,75.7,95,96,3.49,ID,1684946755
17,waitangi,-43.9535,-176.5597,51.93,58,30,14.32,NZ,1684946756
18,sampit,-2.5333,112.95,75.25,91,100,2.53,ID,1684946527
19,klyuchi,52.2667,79.1667,64.99,36,61,13.53,RU,1684946756
20,port-aux-francais,-49.35,70.2167,45.0,97,99,10.87,TF,1684946757
21,puerto natales,-51.7236,-72.4875,39.65,70,75,2.3,CL,1684946757
22,edinburgh of the seven seas,-37.0676,-12.3116,56.16,67,77,10.49,SH,1684946758
23,jaguey grande,22.5269,-81.1286,91.71,45,17,6.22,CU,1684946758
24,pontianak,-0.0333,109.3333,80.58,88,40,1.14,ID,1684946758
25,albany,42.6001,-73.9662,73.94,57,43,1.01,US,1684946641
26,chonchi,-42.6128,-73.8092,45.61,78,100,9.1,CL,1684946759
27,grytviken,-54.2811,-36.5092,32.97,71,63,12.88,GS,1684946759
28,tandag,9.0783,126.1986,77.25,85,100,3.49,PH,1684946759
29,ribeira grande,38.5167,-28.7,70.2,60,40,13.0,PT,1684946760
30,ust-nera,64.5667,143.2,34.34,98,100,2.62,RU,1684946760
31,papatowai,-46.5619,169.4708,53.24,81,87,9.91,NZ,1684946760
32,saint-francois,46.4154,3.9054,69.24,51,0,13.8,FR,1684946760
33,shingu,33.7333,135.9833,58.8,65,83,4.45,JP,1684946761
34,bredasdorp,-34.5322,20.0403,57.24,69,3,3.6,ZA,1684946761
35,jumla,29.2747,82.1838,54.88,91,86,1.03,NP,1684946761
36,port lincoln,-34.7333,135.8667,61.02,84,92,15.95,AU,1684946762
37,kurumkan,54.3,110.3,39.9,75,100,6.62,RU,1684946762
38,port elizabeth,-33.918,25.5701,66.49,62,0,5.75,ZA,1684946762
39,bandarbeyla,9.4942,50.8122,82.98,79,100,17.58,SO,1684946763
40,touros,-5.1989,-35.4608,84.63,59,68,12.48,BR,1684946557
41,weno,7.4515,151.8468,76.95,94,100,3.44,FM,1684946763
42,dingli,35.8614,14.3822,65.8,88,75,17.27,MT,1684946764
43,adamstown,-25.066,-130.1015,75.56,72,80,10.96,PN,1684946764
